starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 14 16:29:01 2019	1565792941	0	483	483	8
Wed Aug 14 16:29:01 2019	1565792941	0	486	486	11
Wed Aug 14 16:29:01 2019	1565792941	0	488	488	11
Wed Aug 14 16:29:01 2019	1565792941	0	491	491	11
Wed Aug 14 16:28:08 2019	1565792888	0	494	494	10
Wed Aug 14 16:28:08 2019	1565792888	0	494	494	8
Wed Aug 14 16:28:08 2019	1565792888	0	494	494	11
Wed Aug 14 16:29:01 2019	1565792941	0	494	494	11
Wed Aug 14 16:28:37 2019	1565792917	0	494	494	10
Wed Aug 14 16:29:01 2019	1565792941	0	494	494	8
Wed Aug 14 16:28:37 2019	1565792917	0	494	494	3
Wed Aug 14 16:28:37 2019	1565792917	0	494	494	11
Wed Aug 14 16:28:37 2019	1565792917	0	494	494	9
Wed Aug 14 16:28:37 2019	1565792917	0	494	494	8
Wed Aug 14 16:28:37 2019	1565792917	0	494	494	8
Wed Aug 14 16:28:37 2019	1565792917	0	494	494	11
Wed Aug 14 16:28:37 2019	1565792917	0	494	494	11
Wed Aug 14 16:28:08 2019	1565792888	0	494	494	11
Wed Aug 14 16:28:11 2019	1565792891	0	494	494	8
Wed Aug 14 16:28:11 2019	1565792891	0	494	494	11
Wed Aug 14 16:28:11 2019	1565792891	0	494	494	11
Wed Aug 14 16:28:11 2019	1565792891	0	494	494	11
Wed Aug 14 16:28:11 2019	1565792891	0	494	494	3
Wed Aug 14 16:28:11 2019	1565792891	0	494	494	9
Wed Aug 14 16:28:11 2019	1565792891	0	494	494	11
Wed Aug 14 16:28:11 2019	1565792891	0	494	494	8
Wed Aug 14 16:28:10 2019	1565792890	0	494	494	11
Wed Aug 14 16:28:10 2019	1565792890	0	494	494	8
Wed Aug 14 16:28:48 2019	1565792928	0	494	494	8
Wed Aug 14 16:28:48 2019	1565792928	0	494	494	11
Wed Aug 14 16:28:09 2019	1565792889	0	494	494	3
Wed Aug 14 16:28:48 2019	1565792928	0	494	494	11
Wed Aug 14 16:28:48 2019	1565792928	0	494	494	11
Wed Aug 14 16:28:09 2019	1565792889	0	494	494	9
Wed Aug 14 16:28:10 2019	1565792890	0	494	494	11
Wed Aug 14 16:28:09 2019	1565792889	0	494	494	8
Wed Aug 14 16:28:10 2019	1565792890	0	494	494	3
Wed Aug 14 16:28:09 2019	1565792889	0	494	494	11
Wed Aug 14 16:28:09 2019	1565792889	0	494	494	11
Wed Aug 14 16:28:10 2019	1565792890	0	494	494	9
Wed Aug 14 16:28:48 2019	1565792928	0	494	494	4
Wed Aug 14 16:28:10 2019	1565792890	0	494	494	11
Wed Aug 14 16:28:48 2019	1565792928	0	494	494	9
Wed Aug 14 16:28:10 2019	1565792890	0	494	494	11
Wed Aug 14 16:28:10 2019	1565792890	0	494	495	8
Wed Aug 14 16:28:26 2019	1565792906	0	494	495	11
Wed Aug 14 16:28:26 2019	1565792906	0	495	495	11
Wed Aug 14 16:28:26 2019	1565792906	0	495	495	3
Wed Aug 14 16:28:26 2019	1565792906	0	495	495	8
Wed Aug 14 16:28:26 2019	1565792906	0	495	495	11
Wed Aug 14 16:28:26 2019	1565792906	0	495	495	9
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	8
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	11
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	3
Wed Aug 14 16:28:09 2019	1565792889	0	495	495	11
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	9
Wed Aug 14 16:28:52 2019	1565792932	0	495	495	3
Wed Aug 14 16:28:09 2019	1565792889	0	495	495	10
Wed Aug 14 16:28:45 2019	1565792925	0	495	495	3
Wed Aug 14 16:28:52 2019	1565792932	0	495	495	9
Wed Aug 14 16:28:52 2019	1565792932	0	495	495	8
Wed Aug 14 16:28:52 2019	1565792932	0	495	495	11
Wed Aug 14 16:28:45 2019	1565792925	0	495	495	9
Wed Aug 14 16:28:09 2019	1565792889	0	495	495	8
Wed Aug 14 16:28:45 2019	1565792925	0	495	495	8
Wed Aug 14 16:28:52 2019	1565792932	0	495	495	11
Wed Aug 14 16:28:45 2019	1565792925	0	495	495	11
Wed Aug 14 16:28:26 2019	1565792906	0	495	495	10
Wed Aug 14 16:28:52 2019	1565792932	0	495	495	10
Wed Aug 14 16:28:45 2019	1565792925	0	495	495	11
Wed Aug 14 16:28:45 2019	1565792925	0	495	495	11
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	3
Wed Aug 14 16:28:45 2019	1565792925	0	495	495	10
Wed Aug 14 16:28:52 2019	1565792932	0	495	495	10
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	8
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	9
Wed Aug 14 16:28:52 2019	1565792932	0	495	495	8
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	11
Wed Aug 14 16:28:45 2019	1565792925	0	495	495	8
Wed Aug 14 16:28:11 2019	1565792891	0	495	495	3
Wed Aug 14 16:28:11 2019	1565792891	0	495	495	8
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	11
Wed Aug 14 16:28:11 2019	1565792891	0	495	495	10
Wed Aug 14 16:28:11 2019	1565792891	0	495	495	11
Wed Aug 14 16:28:11 2019	1565792891	0	495	495	9
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	11
Wed Aug 14 16:28:11 2019	1565792891	0	495	495	10
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	8
Wed Aug 14 16:28:46 2019	1565792926	0	495	495	11
Wed Aug 14 16:28:36 2019	1565792916	0	495	495	8
Wed Aug 14 16:28:11 2019	1565792891	0	495	495	10
Wed Aug 14 16:28:11 2019	1565792891	0	495	495	8
Wed Aug 14 16:28:36 2019	1565792916	0	495	495	11
Wed Aug 14 16:28:36 2019	1565792916	0	495	495	3
Wed Aug 14 16:28:36 2019	1565792916	0	495	495	11
Wed Aug 14 16:28:36 2019	1565792916	0	495	495	11
Wed Aug 14 16:28:36 2019	1565792916	0	495	495	9
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	8
Wed Aug 14 16:28:36 2019	1565792916	0	495	495	8
Wed Aug 14 16:28:36 2019	1565792916	0	495	495	11
Wed Aug 14 16:28:44 2019	1565792924	0	495	495	8
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	3
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	9
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	11
Wed Aug 14 16:28:48 2019	1565792928	0	495	495	11
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	11
Wed Aug 14 16:28:44 2019	1565792924	0	495	495	11
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	10
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	10
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	10
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	8
Wed Aug 14 16:28:08 2019	1565792888	0	495	495	3
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	11
Wed Aug 14 16:28:44 2019	1565792924	0	495	495	11
Wed Aug 14 16:28:08 2019	1565792888	0	495	495	8
Wed Aug 14 16:28:08 2019	1565792888	0	495	495	9
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	11
Wed Aug 14 16:28:08 2019	1565792888	0	495	495	11
Wed Aug 14 16:28:08 2019	1565792888	0	495	495	11
Wed Aug 14 16:28:47 2019	1565792927	0	495	495	8
Wed Aug 14 16:28:48 2019	1565792928	0	495	495	8
Wed Aug 14 16:28:08 2019	1565792888	0	495	495	8
Wed Aug 14 16:28:12 2019	1565792892	0	495	495	8
Wed Aug 14 16:28:44 2019	1565792924	0	495	495	11
Wed Aug 14 16:28:08 2019	1565792888	0	495	495	10
Wed Aug 14 16:28:12 2019	1565792892	0	495	495	11
Wed Aug 14 16:28:08 2019	1565792888	0	495	495	11
Wed Aug 14 16:28:12 2019	1565792892	0	495	495	3
Wed Aug 14 16:28:12 2019	1565792892	0	495	495	9
Wed Aug 14 16:28:31 2019	1565792911	0	495	495	11
Wed Aug 14 16:28:31 2019	1565792911	0	495	495	11
Wed Aug 14 16:28:12 2019	1565792892	0	495	495	11
Wed Aug 14 16:28:12 2019	1565792892	0	495	495	10
Wed Aug 14 16:28:31 2019	1565792911	0	495	495	8
Wed Aug 14 16:28:44 2019	1565792924	0	495	495	8
Wed Aug 14 16:28:44 2019	1565792924	0	495	495	11
Wed Aug 14 16:28:44 2019	1565792924	0	495	495	3
Wed Aug 14 16:28:12 2019	1565792892	0	495	495	10
Wed Aug 14 16:28:31 2019	1565792911	0	495	495	11
Wed Aug 14 16:28:44 2019	1565792924	0	495	495	9
Wed Aug 14 16:28:51 2019	1565792931	0	495	495	8
Wed Aug 14 16:28:48 2019	1565792928	0	495	495	8
Wed Aug 14 16:28:51 2019	1565792931	0	495	495	11
Wed Aug 14 16:28:51 2019	1565792931	0	495	495	11
Wed Aug 14 16:28:12 2019	1565792892	0	495	495	8
Wed Aug 14 16:28:31 2019	1565792911	0	495	495	3
Wed Aug 14 16:28:51 2019	1565792931	0	496	496	11
Wed Aug 14 16:28:51 2019	1565792931	0	496	496	3
Wed Aug 14 16:28:51 2019	1565792931	0	496	496	8
Wed Aug 14 16:28:51 2019	1565792931	0	496	496	9
Wed Aug 14 16:28:51 2019	1565792931	0	496	496	11
Wed Aug 14 16:28:31 2019	1565792911	0	496	496	9
Wed Aug 14 16:28:26 2019	1565792906	0	496	496	8
Wed Aug 14 16:28:58 2019	1565792938	0	496	496	8
Wed Aug 14 16:28:48 2019	1565792928	0	496	496	11
Wed Aug 14 16:28:58 2019	1565792938	0	496	496	10
Wed Aug 14 16:28:58 2019	1565792938	0	496	496	10
Wed Aug 14 16:28:58 2019	1565792938	0	496	496	11
Wed Aug 14 16:28:58 2019	1565792938	0	496	496	3
Wed Aug 14 16:28:58 2019	1565792938	0	496	496	8
Wed Aug 14 16:28:58 2019	1565792938	0	496	496	11
Wed Aug 14 16:28:07 2019	1565792887	0	496	496	3
Wed Aug 14 16:28:58 2019	1565792938	0	496	496	9
Wed Aug 14 16:28:31 2019	1565792911	0	496	496	9
Wed Aug 14 16:28:07 2019	1565792887	0	496	496	9
Wed Aug 14 16:28:31 2019	1565792911	0	496	496	11
Wed Aug 14 16:28:07 2019	1565792887	0	496	496	8
Wed Aug 14 16:28:09 2019	1565792889	0	496	496	11
Wed Aug 14 16:28:07 2019	1565792887	0	496	496	11
Wed Aug 14 16:28:09 2019	1565792889	0	496	496	8
Wed Aug 14 16:28:09 2019	1565792889	0	496	496	11
