starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 14 16:34:41 2019	1565793281	0	279	279	51
Wed Aug 14 16:34:41 2019	1565793281	0	413	413	229
Wed Aug 14 16:34:41 2019	1565793281	0	617	617	417
Wed Aug 14 16:34:41 2019	1565793281	0	806	806	617
Wed Aug 14 16:34:41 2019	1565793281	0	1001	1001	807
Wed Aug 14 16:34:41 2019	1565793281	0	1197	1197	1002
Wed Aug 14 16:34:41 2019	1565793281	0	1411	1411	1197
Wed Aug 14 16:35:06 2019	1565793306	0	1467	1467	1285
Wed Aug 14 16:35:06 2019	1565793306	0	1467	1467	1284
Wed Aug 14 16:35:26 2019	1565793326	0	1478	1478	1296
Wed Aug 14 16:36:15 2019	1565793375	0	1481	1481	1299
Wed Aug 14 16:36:15 2019	1565793375	0	1482	1482	1296
Wed Aug 14 16:37:50 2019	1565793470	0	1483	1483	1300
Wed Aug 14 16:37:34 2019	1565793454	0	1485	1485	1302
Wed Aug 14 16:37:50 2019	1565793470	0	1487	1487	1303
Wed Aug 14 16:37:34 2019	1565793454	0	1487	1487	1302
Wed Aug 14 16:35:05 2019	1565793305	0	1488	1488	1306
Wed Aug 14 16:37:35 2019	1565793455	0	1488	1488	1306
Wed Aug 14 16:35:06 2019	1565793306	0	1489	1489	1282
Wed Aug 14 16:37:50 2019	1565793470	0	1489	1489	1302
Wed Aug 14 16:37:35 2019	1565793455	0	1489	1489	1305
Wed Aug 14 16:37:34 2019	1565793454	0	1491	1491	1306
Wed Aug 14 16:37:35 2019	1565793455	0	1491	1491	1308
Wed Aug 14 16:37:34 2019	1565793454	0	1491	1491	1303
Wed Aug 14 16:36:21 2019	1565793381	0	1492	1492	1307
Wed Aug 14 16:35:05 2019	1565793305	0	1495	1495	1315
Wed Aug 14 16:37:49 2019	1565793469	0	1495	1495	1311
Wed Aug 14 16:35:37 2019	1565793337	0	1497	1497	1313
Wed Aug 14 16:37:29 2019	1565793449	0	1498	1498	1313
Wed Aug 14 16:37:50 2019	1565793470	0	1499	1499	1305
Wed Aug 14 16:35:38 2019	1565793338	0	1499	1499	1318
Wed Aug 14 16:35:36 2019	1565793336	0	1499	1499	1313
Wed Aug 14 16:35:12 2019	1565793312	0	1499	1499	1312
Wed Aug 14 16:37:59 2019	1565793479	0	1499	1500	1323
Wed Aug 14 16:35:36 2019	1565793336	0	1500	1500	1315
Wed Aug 14 16:35:38 2019	1565793338	0	1500	1500	1319
Wed Aug 14 16:35:29 2019	1565793329	0	1500	1500	1319
Wed Aug 14 16:37:24 2019	1565793444	0	1500	1500	1318
Wed Aug 14 16:35:36 2019	1565793336	0	1500	1500	1316
Wed Aug 14 16:35:38 2019	1565793338	0	1501	1501	1307
Wed Aug 14 16:35:37 2019	1565793337	0	1501	1501	1318
Wed Aug 14 16:35:29 2019	1565793329	0	1501	1501	1314
Wed Aug 14 16:35:38 2019	1565793338	0	1502	1502	1318
Wed Aug 14 16:36:21 2019	1565793381	0	1502	1502	1310
Wed Aug 14 16:37:50 2019	1565793470	0	1502	1502	1308
Wed Aug 14 16:35:37 2019	1565793337	0	1502	1502	1311
Wed Aug 14 16:35:37 2019	1565793337	0	1502	1502	1320
Wed Aug 14 16:35:29 2019	1565793329	0	1502	1502	1317
Wed Aug 14 16:36:15 2019	1565793375	0	1503	1503	1318
Wed Aug 14 16:37:50 2019	1565793470	0	1503	1503	1317
Wed Aug 14 16:35:05 2019	1565793305	0	1503	1503	1321
Wed Aug 14 16:36:15 2019	1565793375	0	1503	1503	1322
Wed Aug 14 16:35:29 2019	1565793329	0	1504	1504	1314
Wed Aug 14 16:36:15 2019	1565793375	0	1504	1504	1299
Wed Aug 14 16:35:26 2019	1565793326	0	1505	1505	1324
Wed Aug 14 16:35:05 2019	1565793305	0	1505	1505	1322
Wed Aug 14 16:35:38 2019	1565793338	0	1506	1506	1319
Wed Aug 14 16:37:29 2019	1565793449	0	1506	1506	1322
Wed Aug 14 16:36:16 2019	1565793376	0	1507	1507	1323
Wed Aug 14 16:36:12 2019	1565793372	0	1507	1507	1311
Wed Aug 14 16:35:26 2019	1565793326	0	1507	1507	1324
Wed Aug 14 16:35:37 2019	1565793337	0	1507	1507	1316
Wed Aug 14 16:37:17 2019	1565793437	0	1507	1507	1313
Wed Aug 14 16:36:14 2019	1565793374	0	1508	1508	1326
Wed Aug 14 16:37:17 2019	1565793437	0	1509	1509	1322
Wed Aug 14 16:37:17 2019	1565793437	0	1509	1509	1322
Wed Aug 14 16:35:26 2019	1565793326	0	1509	1510	1296
Wed Aug 14 16:37:25 2019	1565793445	0	1510	1510	1322
Wed Aug 14 16:34:55 2019	1565793295	0	1511	1511	1325
Wed Aug 14 16:35:34 2019	1565793334	0	1511	1511	1329
Wed Aug 14 16:35:33 2019	1565793333	0	1511	1511	1323
Wed Aug 14 16:37:49 2019	1565793469	0	1512	1512	1334
Wed Aug 14 16:35:34 2019	1565793334	0	1512	1512	1327
Wed Aug 14 16:37:21 2019	1565793441	0	1513	1513	1328
Wed Aug 14 16:37:59 2019	1565793479	0	1513	1513	1331
Wed Aug 14 16:34:54 2019	1565793294	0	1513	1513	1325
Wed Aug 14 16:36:38 2019	1565793398	0	1513	1513	1325
Wed Aug 14 16:36:55 2019	1565793415	0	1514	1514	1328
Wed Aug 14 16:35:38 2019	1565793338	0	1514	1514	1307
Wed Aug 14 16:37:17 2019	1565793437	0	1514	1514	1326
Wed Aug 14 16:35:17 2019	1565793317	0	1514	1514	1326
Wed Aug 14 16:36:21 2019	1565793381	0	1514	1514	1324
Wed Aug 14 16:34:55 2019	1565793295	0	1514	1514	1330
Wed Aug 14 16:35:05 2019	1565793305	0	1514	1514	1334
Wed Aug 14 16:36:46 2019	1565793406	0	1515	1515	1326
Wed Aug 14 16:36:11 2019	1565793371	0	1515	1515	1328
Wed Aug 14 16:35:33 2019	1565793333	0	1516	1516	1328
Wed Aug 14 16:36:16 2019	1565793376	0	1516	1516	1322
Wed Aug 14 16:35:17 2019	1565793317	0	1516	1516	1327
