starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 14 16:39:04 2019	1565793544	0	884	884	11
Wed Aug 14 16:39:09 2019	1565793549	0	885	885	11
Wed Aug 14 16:39:09 2019	1565793549	0	887	887	8
Wed Aug 14 16:39:09 2019	1565793549	0	887	887	12
Wed Aug 14 16:39:09 2019	1565793549	0	888	888	7
Wed Aug 14 16:39:09 2019	1565793549	0	888	888	7
Wed Aug 14 16:39:05 2019	1565793545	0	888	888	8
Wed Aug 14 16:39:25 2019	1565793565	0	889	889	7
Wed Aug 14 16:38:47 2019	1565793527	0	889	889	8
Wed Aug 14 16:39:25 2019	1565793565	0	889	889	4
Wed Aug 14 16:39:25 2019	1565793565	0	889	889	7
Wed Aug 14 16:39:04 2019	1565793544	0	889	889	13
Wed Aug 14 16:39:09 2019	1565793549	0	889	889	9
Wed Aug 14 16:38:42 2019	1565793522	0	889	889	9
Wed Aug 14 16:39:09 2019	1565793549	0	889	889	12
Wed Aug 14 16:39:04 2019	1565793544	0	889	889	7
Wed Aug 14 16:39:09 2019	1565793549	0	889	889	14
Wed Aug 14 16:39:04 2019	1565793544	0	889	889	9
Wed Aug 14 16:39:04 2019	1565793544	0	889	889	7
Wed Aug 14 16:39:04 2019	1565793544	0	889	889	9
Wed Aug 14 16:39:04 2019	1565793544	0	889	889	13
Wed Aug 14 16:38:41 2019	1565793521	0	889	889	7
Wed Aug 14 16:38:47 2019	1565793527	0	890	890	4
Wed Aug 14 16:38:47 2019	1565793527	0	890	890	10
Wed Aug 14 16:39:25 2019	1565793565	0	890	890	13
Wed Aug 14 16:39:25 2019	1565793565	0	890	890	9
Wed Aug 14 16:39:25 2019	1565793565	0	890	890	12
Wed Aug 14 16:39:25 2019	1565793565	0	890	890	12
Wed Aug 14 16:39:25 2019	1565793565	0	890	890	12
Wed Aug 14 16:38:47 2019	1565793527	0	890	890	5
Wed Aug 14 16:39:05 2019	1565793545	0	890	890	10
Wed Aug 14 16:39:05 2019	1565793545	0	890	890	10
Wed Aug 14 16:38:47 2019	1565793527	0	890	890	7
Wed Aug 14 16:39:05 2019	1565793545	0	890	890	7
Wed Aug 14 16:39:05 2019	1565793545	0	890	890	7
Wed Aug 14 16:38:47 2019	1565793527	0	890	890	7
Wed Aug 14 16:39:05 2019	1565793545	0	890	890	11
Wed Aug 14 16:38:42 2019	1565793522	0	890	890	9
Wed Aug 14 16:39:05 2019	1565793545	0	890	890	9
Wed Aug 14 16:38:42 2019	1565793522	0	890	890	6
Wed Aug 14 16:38:42 2019	1565793522	0	890	890	4
Wed Aug 14 16:38:42 2019	1565793522	0	890	890	4
Wed Aug 14 16:38:47 2019	1565793527	0	890	890	6
Wed Aug 14 16:38:42 2019	1565793522	0	890	890	7
Wed Aug 14 16:38:42 2019	1565793522	0	890	890	10
Wed Aug 14 16:39:23 2019	1565793563	0	891	891	11
Wed Aug 14 16:39:05 2019	1565793545	0	891	891	12
Wed Aug 14 16:39:23 2019	1565793563	0	891	891	8
Wed Aug 14 16:39:05 2019	1565793545	0	891	891	7
Wed Aug 14 16:38:47 2019	1565793527	0	891	891	4
Wed Aug 14 16:39:05 2019	1565793545	0	891	891	7
Wed Aug 14 16:39:05 2019	1565793545	0	891	891	6
Wed Aug 14 16:39:05 2019	1565793545	0	891	891	8
Wed Aug 14 16:38:41 2019	1565793521	0	891	891	7
Wed Aug 14 16:38:48 2019	1565793528	0	891	891	10
Wed Aug 14 16:38:41 2019	1565793521	0	892	892	9
Wed Aug 14 16:38:41 2019	1565793521	0	892	892	4
Wed Aug 14 16:39:10 2019	1565793550	0	892	892	6
Wed Aug 14 16:39:10 2019	1565793550	0	892	892	9
Wed Aug 14 16:39:10 2019	1565793550	0	892	892	10
Wed Aug 14 16:38:41 2019	1565793521	0	892	892	11
